"File","Line","Ns","Key","Len"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","965","can","sofar_id","8"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","1141","contactor","pwm_ctrl","8"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","1146","contactor","pwm_hold","8"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","429","battery","soc_low","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","437","battery","soc_est","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","439","battery","version","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","621","power","version","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","795","inverter","modules","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","820","inverter","version","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","980","can","version","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","1131","contactor","nc_mode","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","1152","contactor","per_bms","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","1167","contactor","version","7"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","1136","contactor","pwm_hz","6"
"C:\Users\GrahamWillsher\ESP32Projects\ESPnowtransmitter2\espnowtransmitter2\src\settings\settings_persistence.cpp","790","inverter","cells","5"
